year_index,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,foreign_film,origin,origin_language
2013-01-01,450.0,150.0,563.0,1000.0,40000.0,89289910.0,Action|Adventure|Western,The Lone Ranger ,181792,45757,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711.0,English,USA,PG-13,215000000.0,2013.0,2000.0,6.5,48000,-125710090.0,USA,American,English
2013-01-01,733.0,143.0,0.0,748.0,15000.0,291021565.0,Action|Adventure|Fantasy|Sci-Fi,Man of Steel ,548573,20495,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536.0,English,USA,PG-13,225000000.0,2013.0,3000.0,7.2,118000,66021565.0,USA,American,English
2008-01-01,258.0,150.0,80.0,201.0,22000.0,141614023.0,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian ,149922,22697,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438.0,English,USA,PG,225000000.0,2008.0,216.0,6.6,0,-83385977.0,USA,American,English
2012-01-01,703.0,173.0,0.0,19000.0,26000.0,623279547.0,Action|Adventure|Sci-Fi,The Avengers ,995415,87697,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722.0,English,USA,PG-13,220000000.0,2012.0,21000.0,8.1,123000,403279547.0,USA,American,English
2011-01-01,448.0,136.0,252.0,1000.0,40000.0,241063875.0,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides ,370704,54083,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484.0,English,USA,PG-13,250000000.0,2011.0,11000.0,6.7,58000,-8936125.0,USA,American,English
2012-01-01,451.0,106.0,188.0,718.0,10000.0,179020854.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3 ,268154,12572,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341.0,English,USA,PG-13,225000000.0,2012.0,816.0,6.8,40000,-45979146.0,USA,American,English
2014-01-01,422.0,164.0,0.0,773.0,5000.0,255108370.0,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies ,354228,9152,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802.0,English,New Zealand,PG-13,250000000.0,2014.0,972.0,7.5,65000,5108370.0,New Zealand,Foreign,English
2012-01-01,599.0,153.0,464.0,963.0,15000.0,262030663.0,Action|Adventure|Fantasy,The Amazing Spider-Man ,451803,28489,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225.0,English,USA,PG-13,230000000.0,2012.0,10000.0,7.0,56000,32030663.0,USA,American,English
2010-01-01,343.0,156.0,0.0,738.0,891.0,105219735.0,Action|Adventure|Drama|History,Robin Hood ,211765,3244,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546.0,English,USA,PG-13,200000000.0,2010.0,882.0,6.7,17000,-94780265.0,USA,American,English
2013-01-01,509.0,186.0,0.0,773.0,5000.0,258355354.0,Adventure|Fantasy,The Hobbit: The Desolation of Smaug ,483540,9152,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951.0,English,USA,PG-13,225000000.0,2013.0,972.0,7.9,83000,33355354.0,USA,American,English
2007-01-01,251.0,113.0,129.0,1000.0,16000.0,70083519.0,Adventure|Family|Fantasy,The Golden Compass ,149019,24106,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666.0,English,USA,PG-13,180000000.0,2007.0,6000.0,6.1,0,-109916481.0,USA,American,English
2005-01-01,446.0,201.0,0.0,84.0,6000.0,218051260.0,Action|Adventure|Drama|Romance,King Kong ,316018,7123,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618.0,English,New Zealand,PG-13,207000000.0,2005.0,919.0,7.2,0,11051260.0,New Zealand,Foreign,English
1997-01-01,315.0,194.0,0.0,794.0,29000.0,658672302.0,Drama|Romance,Titanic ,793059,45223,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528.0,English,USA,PG-13,200000000.0,1997.0,14000.0,7.7,26000,458672302.0,USA,American,English
2016-01-01,516.0,147.0,94.0,11000.0,21000.0,407197282.0,Action|Adventure|Sci-Fi,Captain America: Civil War ,272670,64798,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022.0,English,USA,PG-13,250000000.0,2016.0,19000.0,8.2,72000,157197282.0,USA,American,English
2012-01-01,377.0,131.0,532.0,627.0,14000.0,65173160.0,Action|Adventure|Sci-Fi|Thriller,Battleship ,202382,26679,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751.0,English,USA,PG-13,209000000.0,2012.0,10000.0,5.9,44000,-143826840.0,USA,American,English
2015-01-01,644.0,124.0,365.0,1000.0,3000.0,652177271.0,Action|Adventure|Sci-Fi|Thriller,Jurassic World ,418214,8458,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290.0,English,USA,PG-13,150000000.0,2015.0,2000.0,7.0,150000,502177271.0,USA,American,English
2012-01-01,750.0,143.0,0.0,393.0,883.0,304360277.0,Action|Adventure|Thriller,Skyfall ,522030,2039,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498.0,English,UK,PG-13,200000000.0,2012.0,563.0,7.8,80000,104360277.0,UK,Foreign,English
2004-01-01,300.0,135.0,0.0,4000.0,24000.0,373377893.0,Action|Adventure|Fantasy|Romance,Spider-Man 2 ,411164,43388,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303.0,English,USA,PG-13,200000000.0,2004.0,11000.0,7.3,0,173377893.0,USA,American,English
2013-01-01,608.0,195.0,1000.0,3000.0,21000.0,408992272.0,Action|Adventure|Sci-Fi,Iron Man 3 ,557489,30426,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187.0,English,USA,PG-13,200000000.0,2013.0,4000.0,7.2,95000,208992272.0,USA,American,English
2010-01-01,451.0,108.0,13000.0,11000.0,40000.0,334185206.0,Adventure|Family|Fantasy,Alice in Wonderland ,306320,79957,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736.0,English,USA,PG,200000000.0,2010.0,25000.0,6.5,24000,134185206.0,USA,American,English
2006-01-01,334.0,104.0,420.0,560.0,20000.0,234360014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand ,383427,21714,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912.0,English,Canada,PG-13,210000000.0,2006.0,808.0,6.8,0,24360014.0,Canada,Foreign,English
2013-01-01,376.0,104.0,37.0,760.0,12000.0,268488329.0,Adventure|Animation|Comedy|Family|Fantasy,Monsters University ,235025,14863,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265.0,English,USA,G,200000000.0,2013.0,779.0,7.3,44000,68488329.0,USA,American,English
2009-01-01,366.0,150.0,0.0,464.0,894.0,402076689.0,Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen ,323207,3218,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439.0,English,USA,PG-13,200000000.0,2009.0,581.0,6.0,0,202076689.0,USA,American,English
2014-01-01,378.0,165.0,0.0,808.0,974.0,245428137.0,Action|Adventure|Sci-Fi,Transformers: Age of Extinction ,242420,3988,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918.0,English,USA,PG-13,210000000.0,2014.0,956.0,5.7,56000,35428137.0,USA,American,English
2013-01-01,525.0,130.0,0.0,11000.0,44000.0,234903076.0,Adventure|Family|Fantasy,Oz the Great and Powerful ,175409,73441,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511.0,English,USA,PG,215000000.0,2013.0,15000.0,6.4,60000,19903076.0,USA,American,English
2014-01-01,495.0,142.0,464.0,825.0,15000.0,202853933.0,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2 ,321227,28631,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067.0,English,USA,PG-13,200000000.0,2014.0,10000.0,6.7,41000,2853933.0,USA,American,English
2010-01-01,469.0,125.0,364.0,1000.0,12000.0,172051787.0,Action|Adventure|Sci-Fi,TRON: Legacy ,264183,25550,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665.0,English,USA,PG,170000000.0,2010.0,10000.0,6.8,30000,2051787.0,USA,American,English
2011-01-01,304.0,106.0,487.0,776.0,1000.0,191450875.0,Adventure|Animation|Comedy|Family|Sport,Cars 2 ,101178,4482,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283.0,English,USA,G,200000000.0,2011.0,919.0,6.3,10000,-8549125.0,USA,American,English
2011-01-01,436.0,123.0,258.0,326.0,16000.0,116593191.0,Action|Adventure|Sci-Fi,Green Lantern ,223393,17657,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550.0,English,USA,PG-13,200000000.0,2011.0,368.0,5.6,24000,-83406809.0,USA,American,English
2010-01-01,453.0,103.0,125.0,721.0,15000.0,414984497.0,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3 ,544884,19085,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733.0,English,USA,G,200000000.0,2010.0,1000.0,8.3,30000,214984497.0,USA,American,English
2009-01-01,422.0,118.0,368.0,988.0,23000.0,125320003.0,Action|Adventure|Sci-Fi,Terminator Salvation ,286095,27468,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974.0,English,USA,PG-13,200000000.0,2009.0,3000.0,6.6,0,-74679997.0,USA,American,English
2015-01-01,424.0,140.0,0.0,14000.0,26000.0,350034110.0,Action|Crime|Thriller,Furious 7 ,278232,79150,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657.0,English,USA,PG-13,190000000.0,2015.0,23000.0,7.2,94000,160034110.0,USA,American,English
2013-01-01,654.0,123.0,395.0,1000.0,17000.0,202351611.0,Action|Adventure|Horror|Sci-Fi|Thriller,World War Z ,465019,32392,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995.0,English,USA,PG-13,190000000.0,2013.0,11000.0,7.0,129000,12351611.0,USA,American,English
2014-01-01,539.0,149.0,0.0,20000.0,34000.0,233914986.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past ,514125,91434,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752.0,English,USA,PG-13,200000000.0,2014.0,22000.0,8.0,82000,33914986.0,USA,American,English
2013-01-01,590.0,132.0,14000.0,928.0,19000.0,228756232.0,Action|Adventure|Sci-Fi,Star Trek Into Darkness ,395573,21411,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171.0,English,USA,PG-13,190000000.0,2013.0,981.0,7.8,92000,38756232.0,USA,American,English
2013-01-01,338.0,114.0,0.0,140.0,979.0,65171860.0,Adventure|Fantasy,Jack the Giant Slayer ,106416,1766,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205.0,English,USA,PG-13,195000000.0,2013.0,557.0,6.3,22000,-129828140.0,USA,American,English
2013-01-01,490.0,143.0,1000.0,77.0,29000.0,144812796.0,Drama|Romance,The Great Gatsby ,362912,29770,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753.0,English,Australia,PG-13,105000000.0,2013.0,509.0,7.3,115000,39812796.0,Australia,Foreign,English
2010-01-01,306.0,116.0,179.0,236.0,15000.0,90755643.0,Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time ,222403,16149,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453.0,English,USA,PG-13,200000000.0,2010.0,567.0,6.6,23000,-109244357.0,USA,American,English
2013-01-01,575.0,131.0,0.0,919.0,16000.0,101785482.0,Action|Adventure|Sci-Fi,Pacific Rim ,381148,19166,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106.0,English,USA,PG-13,190000000.0,2013.0,968.0,7.0,83000,-88214518.0,USA,American,English
2011-01-01,428.0,154.0,0.0,581.0,894.0,352358779.0,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon ,326180,2593,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899.0,English,USA,PG-13,195000000.0,2011.0,829.0,6.3,46000,157358779.0,USA,American,English
2008-01-01,470.0,122.0,14000.0,1000.0,11000.0,317011114.0,Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054.0,English,USA,PG-13,185000000.0,2008.0,1000.0,6.2,5000,132011114.0,USA,American,English
2015-01-01,298.0,93.0,113.0,113.0,275.0,123070338.0,Adventure|Animation|Comedy|Family|Fantasy,The Good Dinosaur ,62836,696,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345.0,English,USA,PG,39752620.0,2015.0,150.0,6.8,20000,83317718.0,USA,American,English
2012-01-01,488.0,93.0,56.0,838.0,2000.0,237282182.0,Adventure|Animation|Comedy|Family|Fantasy,Brave ,273556,5005,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428.0,English,USA,PG,185000000.0,2012.0,1000.0,7.2,39000,52282182.0,USA,American,English
2016-01-01,322.0,122.0,681.0,105.0,998.0,130468626.0,Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond ,53607,1327,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432.0,English,USA,PG-13,185000000.0,2016.0,119.0,7.5,30000,-54531374.0,USA,American,English
2008-01-01,421.0,98.0,475.0,522.0,1000.0,223806889.0,Adventure|Animation|Family|Sci-Fi,WALL·E ,718837,2975,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043.0,English,USA,G,180000000.0,2008.0,729.0,8.4,16000,43806889.0,USA,American,English
2007-01-01,162.0,91.0,420.0,173.0,268.0,140080850.0,Action|Comedy|Crime|Thriller,Rush Hour 3 ,121084,1125,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221.0,English,USA,PG-13,140000000.0,2007.0,268.0,6.2,0,80850.0,USA,American,English
2009-01-01,367.0,158.0,776.0,310.0,1000.0,166112167.0,Action|Adventure|Sci-Fi,2012 ,283418,2144,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,200000000.0,2009.0,468.0,5.8,13000,-33887833.0,USA,American,English
2009-01-01,240.0,96.0,0.0,10000.0,18000.0,137850096.0,Animation|Drama|Family|Fantasy,A Christmas Carol ,72809,48878,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249.0,English,USA,PG,200000000.0,2009.0,14000.0,6.8,0,-62149904.0,USA,American,English
2015-01-01,384.0,127.0,0.0,13000.0,17000.0,47375327.0,Action|Adventure|Sci-Fi,Jupiter Ascending ,139593,47334,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720.0,English,USA,PG-13,176000000.0,2015.0,15000.0,5.4,44000,-128624673.0,USA,American,English
2016-01-01,248.0,110.0,282.0,103.0,11000.0,124051759.0,Action|Adventure|Drama|Romance,The Legend of Tarzan ,42372,21175,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239.0,English,USA,PG-13,180000000.0,2016.0,10000.0,6.6,29000,-55948241.0,USA,American,English
2005-01-01,284.0,150.0,80.0,82.0,1000.0,291709845.0,Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463.0,English,USA,PG,180000000.0,2005.0,190.0,6.9,0,111709845.0,USA,American,English
2016-01-01,396.0,144.0,0.0,1000.0,34000.0,154985087.0,Action|Adventure|Sci-Fi,X-Men: Apocalypse ,148379,49684,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622.0,English,USA,PG-13,178000000.0,2016.0,13000.0,7.3,54000,-23014913.0,USA,American,English
2008-01-01,645.0,152.0,22000.0,11000.0,23000.0,533316061.0,Action|Crime|Drama|Thriller,The Dark Knight ,1676169,57802,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667.0,English,USA,PG-13,185000000.0,2008.0,13000.0,9.0,37000,348316061.0,USA,American,English
2009-01-01,408.0,96.0,0.0,262.0,1000.0,292979556.0,Adventure|Animation|Comedy|Family,Up ,665575,2635,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704.0,English,USA,PG,175000000.0,2009.0,848.0,8.3,27000,117979556.0,USA,American,English
2009-01-01,219.0,94.0,11.0,459.0,1000.0,198332128.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. Aliens ,114553,2579,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187.0,English,USA,PG,175000000.0,2009.0,973.0,6.5,0,23332128.0,USA,American,English
2008-01-01,486.0,126.0,4000.0,4000.0,21000.0,318298180.0,Action|Adventure|Sci-Fi,Iron Man ,696338,39252,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055.0,English,USA,PG-13,140000000.0,2008.0,12000.0,7.9,10000,178298180.0,USA,American,English
2011-01-01,682.0,126.0,17000.0,1000.0,17000.0,73820094.0,Adventure|Drama|Family|Mystery,Hugo ,245333,36017,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678.0,English,USA,PG,170000000.0,2011.0,16000.0,7.5,42000,-96179906.0,USA,American,English
1999-01-01,85.0,106.0,188.0,582.0,10000.0,113745408.0,Action|Comedy|Sci-Fi|Western,Wild Wild West ,129601,15870,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648.0,English,USA,PG-13,170000000.0,1999.0,4000.0,4.8,0,-56254592.0,USA,American,English
2008-01-01,264.0,112.0,357.0,595.0,5000.0,102176165.0,Action|Adventure|Fantasy|Horror|Thriller,The Mummy: Tomb of the Dragon Emperor ,117927,9131,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501.0,English,USA,PG-13,145000000.0,2008.0,3000.0,5.2,0,-42823835.0,USA,American,English
2016-01-01,418.0,123.0,452.0,329.0,10000.0,161087183.0,Action|Adventure|Comedy|Sci-Fi,Suicide Squad ,118992,11287,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971.0,English,USA,PG-13,175000000.0,2016.0,336.0,6.9,80000,-13912817.0,USA,American,English
2007-01-01,186.0,96.0,293.0,7000.0,87000.0,100289690.0,Comedy|Family|Fantasy,Evan Almighty ,115099,108016,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257.0,English,USA,PG,175000000.0,2007.0,11000.0,5.4,2000,-74710310.0,USA,American,English
2014-01-01,585.0,113.0,218.0,509.0,10000.0,100189501.0,Action|Adventure|Sci-Fi,Edge of Tomorrow ,431620,12652,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741.0,English,USA,PG-13,178000000.0,2014.0,854.0,7.9,77000,-77810499.0,USA,American,English
1995-01-01,91.0,176.0,58.0,60.0,711.0,88246220.0,Action|Adventure|Sci-Fi|Thriller,Waterworld ,144337,1004,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309.0,English,USA,PG-13,175000000.0,1995.0,60.0,6.1,0,-86753780.0,USA,American,English
2009-01-01,250.0,118.0,208.0,570.0,23000.0,150167630.0,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: The Rise of Cobra ,174578,26683,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534.0,English,USA,PG-13,175000000.0,2009.0,2000.0,5.8,0,-24832370.0,USA,American,English
2015-01-01,536.0,95.0,0.0,384.0,1000.0,356454367.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,Inside Out ,345198,2944,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773.0,English,USA,PG,175000000.0,2015.0,767.0,8.3,118000,181454367.0,USA,American,English
2016-01-01,370.0,106.0,4000.0,591.0,19000.0,362645141.0,Adventure|Drama|Family|Fantasy,The Jungle Book ,106072,32921,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398.0,English,UK,PG,175000000.0,2016.0,13000.0,7.8,65000,187645141.0,UK,Foreign,English
2010-01-01,453.0,124.0,4000.0,4000.0,21000.0,312057433.0,Action|Adventure|Sci-Fi,Iron Man 2 ,522371,48638,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723.0,English,USA,PG-13,200000000.0,2010.0,19000.0,7.0,18000,112057433.0,USA,American,English
2012-01-01,416.0,132.0,274.0,11000.0,26000.0,155111815.0,Action|Adventure|Drama|Fantasy,Snow White and the Huntsman ,228554,72881,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710.0,English,USA,PG-13,170000000.0,2012.0,17000.0,6.1,53000,-14888185.0,USA,American,English
2014-01-01,401.0,97.0,171.0,846.0,11000.0,241407328.0,Action|Adventure|Family|Fantasy|Romance,Maleficent ,252257,15516,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634.0,English,USA,PG,180000000.0,2014.0,2000.0,7.0,89000,61407328.0,USA,American,English
2014-01-01,521.0,130.0,198.0,884.0,10000.0,208543795.0,Action|Adventure|Drama|Sci-Fi,Dawn of the Planet of the Apes ,317542,14363,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620.0,English,USA,PG-13,170000000.0,2014.0,2000.0,7.6,45000,38543795.0,USA,American,English
2015-01-01,10.0,109.0,596.0,283.0,622.0,48468407.0,Action|Adventure|Romance|Sci-Fi,The Lovers ,2138,1982,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15.0,English,Belgium,R,39752620.0,2015.0,525.0,4.5,677,8715787.0,Belgium,Foreign,English
2013-01-01,218.0,128.0,47.0,982.0,18000.0,38297305.0,Action|Adventure|Drama|Fantasy,47 Ronin ,116994,20965,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324.0,English,USA,PG-13,175000000.0,2013.0,1000.0,6.3,35000,-136702695.0,USA,American,English
2014-01-01,576.0,136.0,94.0,2000.0,19000.0,259746958.0,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier ,496749,36188,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742.0,English,USA,PG-13,170000000.0,2014.0,11000.0,7.8,55000,89746958.0,USA,American,English
2010-01-01,226.0,93.0,31.0,213.0,4000.0,238371987.0,Adventure|Animation|Comedy|Family|Fantasy,Shrek Forever After ,138661,4628,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173.0,English,USA,PG,165000000.0,2010.0,225.0,6.4,0,73371987.0,USA,American,English
2015-01-01,443.0,130.0,663.0,604.0,2000.0,93417865.0,Action|Adventure|Family|Mystery|Sci-Fi,Tomorrowland ,128306,5046,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497.0,English,USA,PG,190000000.0,2015.0,638.0,6.5,37000,-96582135.0,USA,American,English
2014-01-01,384.0,102.0,38.0,562.0,756.0,222487711.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6 ,279093,2963,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433.0,English,USA,PG,165000000.0,2014.0,719.0,7.9,41000,57487711.0,USA,American,English
